2026-08-21T18:39:41: PM2 log: ===============================================================================
2026-08-21T18:39:41: PM2 log: --- New PM2 Daemon started ----------------------------------------------------
2026-08-21T18:39:41: PM2 log: Time                 : Fri Aug 21 2026 18:39:41 GMT-0300 (Brasilia Standard Time)
2026-08-21T18:39:41: PM2 log: PM2 version          : 7.0.3
2026-08-21T18:39:41: PM2 log: Node.js version      : 26.3.1
2026-08-21T18:39:41: PM2 log: Current arch         : arm64
2026-08-21T18:39:41: PM2 log: PM2 home             : /data/data/com.termux/files/home/.pm2
2026-08-21T18:39:41: PM2 log: PM2 PID file         : /data/data/com.termux/files/home/.pm2/pm2.pid
2026-08-21T18:39:41: PM2 log: RPC socket file      : /data/data/com.termux/files/home/.pm2/rpc.sock
2026-08-21T18:39:41: PM2 log: BUS socket file      : /data/data/com.termux/files/home/.pm2/pub.sock
2026-08-21T18:39:41: PM2 log: Application log path : /data/data/com.termux/files/home/.pm2/logs
2026-08-21T18:39:41: PM2 log: Worker Interval      : 30000
2026-08-21T18:39:41: PM2 log: Process dump file    : /data/data/com.termux/files/home/.pm2/dump.pm2
2026-08-21T18:39:41: PM2 log: Concurrent actions   : 2
2026-08-21T18:39:41: PM2 log: SIGTERM timeout      : 1600
2026-08-21T18:39:41: PM2 log: Runtime Binary       : /data/data/com.termux/files/usr/bin/node
2026-08-21T18:39:41: PM2 log: ===============================================================================
2026-08-21T18:39:41: PM2 log: App [meu-bot:0] starting in -fork mode-
2026-08-21T18:39:41: PM2 log: App [meu-bot:0] online
2026-08-21T19:01:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:02:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:02:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:03:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:03:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:04:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:04:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:05:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:05:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:06:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:06:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:07:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:07:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:08:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:08:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:09:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:09:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:10:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:10:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:11:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:11:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:12:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:12:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:13:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:13:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:14:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:14:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:15:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:15:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:16:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:16:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:17:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:17:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:18:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:18:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:19:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:19:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:20:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:20:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:21:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:21:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:22:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:22:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:23:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:23:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:24:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:24:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:25:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:25:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:26:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:26:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:27:12: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
2026-08-21T19:27:42: PM2 warn: [pidusage] We couldn't find uptime from /proc/uptime, using os.uptime() value
